provider_id	total_revenue_gap	total_discharges	gap_per_discharge	weighted_efficiency
290007	216783619.00	1812	119637.758830	0.132641
100034	216025256.00	3304	65382.946731	0.173621
30092	215026369.00	2163	99411.173833	0.111412
260108	214844162.00	4895	43890.533606	0.195750
60015	214416649.00	2082	102985.902498	0.131811
310034	213806098.00	3155	67767.384469	0.130846
340053	213000314.00	3080	69155.946104	0.181703
390179	212732355.00	4961	42880.942350	0.179105
50168	212560828.00	2930	72546.357679	0.181624
50036	212333540.00	2152	98668.001859	0.146259
150125	212242023.00	4813	44097.656971	0.206275
490069	212207930.00	4145	51196.123040	0.168283
450033	212046136.00	1348	157304.255193	0.070824
50228	211897748.00	1623	130559.302526	0.211289
260096	211133199.00	3898	54164.494356	0.174330
100077	210925465.00	1950	108166.905128	0.092103
140007	210690462.00	3268	64470.765606	0.139651
410007	210660784.00	5012	42031.281724	0.323636
440063	209074166.00	3795	55092.006851	0.168365
310111	208940129.00	3645	57322.394787	0.160053
440006	208310004.00	1674	124438.473118	0.085724
380102	207289700.00	3372	61473.813760	0.202188
100253	206723129.00	4257	48560.753817	0.171594
370114	206687762.00	4512	45808.457890	0.238105
440156	205759935.00	2304	89305.527344	0.116965
330285	205637468.00	3805	54044.012615	0.310239
50278	205557834.00	2045	100517.278240	0.144772
100093	204909845.00	3190	64235.061129	0.172965
330107	204744396.00	3758	54482.276743	0.186365
100025	203909809.00	4334	47048.871481	0.208120
40007	202629653.00	3328	60886.314002	0.224122
260065	201998443.00	4677	43189.746205	0.215650
390115	201787288.00	4688	43043.363481	0.234879
250078	200225043.00	5521	36266.082775	0.259564
100287	199506446.00	1367	145944.730066	0.066659
500079	199312971.00	4104	48565.538743	0.190693
30119	199036432.00	2757	72193.120058	0.117128
360035	198741675.00	3599	55221.360100	0.190481
50761	198394842.00	2614	75897.032135	0.152939
100299	198189828.00	1753	113057.517399	0.075862
230019	198157824.00	5992	33070.397864	0.274267
450046	197464981.00	2553	77346.251861	0.165571
60119	197030950.00	2471	79737.333064	0.181105
370008	195223803.00	3474	56195.683074	0.150796
170176	194240887.00	1837	105738.098530	0.104096
100238	193991327.00	1520	127625.873026	0.075352
250048	193654442.00	5250	36886.560381	0.235582
30014	193634908.00	1911	101326.482470	0.114339
320021	193468898.00	5494	35214.579177	0.250421
310032	193259708.00	3077	62807.834904	0.177047
100209	193171850.00	1066	181211.866792	0.086294
450801	192529230.00	3127	61569.948833	0.152829
30093	192463918.00	4024	47829.005467	0.182340
420087	192449771.00	3563	54013.407522	0.183958
50069	192401253.00	2716	70839.931149	0.210020
50007	192250930.00	2627	73182.691283	0.205402
390222	192026931.00	2788	68876.230631	0.124510
50057	191865829.00	3889	49335.517871	0.248936
240106	191839713.00	4390	43699.251253	0.270904
240038	191817851.00	3714	51647.240442	0.211229
70033	191095398.00	5117	37345.201876	0.296154
390226	190283652.00	1873	101592.980246	0.139734
260216	190027670.00	2841	66887.599437	0.097465
330104	189553674.00	2344	80867.608362	0.139211
330057	189536897.00	4623	40998.679862	0.220573
180035	189438731.00	4945	38309.146815	0.217022
490107	188950117.00	2181	86634.624943	0.121122
450686	188613357.00	2410	78262.803734	0.183803
450804	188067489.00	724	259761.725138	0.074843
140288	187348069.00	3578	52361.114869	0.187255
490057	186959898.00	4119	45389.632921	0.187008
250001	186716790.00	3451	54105.126050	0.277012
360066	185886342.00	3269	56863.365555	0.152732
150089	185620397.00	3236	57361.062114	0.171490
100359	185395485.00	3776	49098.380561	0.135545
240115	184033255.00	4286	42938.230285	0.210418
100290	183401089.00	4430	41399.794357	0.161515
440120	182686591.00	2370	77082.949789	0.125255
110143	181874052.00	1950	93268.744615	0.139767
140130	181001373.00	2945	61460.568081	0.157996
100265	180780652.00	3783	47787.642612	0.157920
110215	180759366.00	3144	57493.437023	0.156763
50455	180603634.00	1823	99069.464619	0.126907
100244	180125440.00	3510	51317.789174	0.146701
300034	180032463.00	3086	58338.452041	0.203586
100067	179843709.00	3539	50817.662899	0.170080
380047	179423592.00	4303	41697.325587	0.326791
440104	178292919.00	3380	52749.384320	0.227142
50006	178006108.00	1808	98454.705752	0.147613
100084	177807310.00	3628	49009.732635	0.178270
670077	177094367.00	2351	75327.250957	0.141934
450011	177051041.00	3077	57540.149821	0.162928
390258	176574928.00	4371	40396.917868	0.208310
140228	176327171.00	2224	79283.799910	0.127136
60020	176182879.00	2140	82328.448131	0.132264
240053	175978854.00	4683	37578.230621	0.230696
390237	175952393.00	2244	78410.157308	0.119106
220086	175786013.00	8825	19919.094958	0.558383
450137	175735809.00	2896	60682.254489	0.199296
310025	174620031.00	643	271570.810264	0.049316
390180	173790968.00	1359	127881.506990	0.113413
330401	173457410.00	3418	50748.218256	0.159839
340091	173096008.00	5260	32907.986312	0.273737
240078	172848827.00	2856	60521.297969	0.180687
100001	172774115.00	2601	66426.034218	0.195075
50624	172496033.00	1450	118962.781379	0.098481
450809	172420075.00	1871	92153.968466	0.105548
30064	172366365.00	2338	73723.851583	0.231278
170104	171684180.00	2562	67011.779859	0.133445
230020	171438480.00	3042	56357.159763	0.185746
260105	171247981.00	1783	96044.857543	0.211533
50197	171009393.00	1036	165066.981660	0.127484
50353	170732558.00	1999	85408.983492	0.144553
360230	170619935.00	5229	32629.553452	0.217051
80007	170038300.00	4162	40854.949543	0.196454
490052	169740159.00	5117	33171.811413	0.257384
260179	169486741.00	4306	39360.599396	0.222932
100109	169429534.00	2658	63743.240783	0.135060
310113	169337289.00	2748	61622.012009	0.127251
40004	169291110.00	3006	56317.734531	0.177239
260137	169232287.00	2676	63240.764948	0.140830
450209	168900929.00	1412	119618.221671	0.101357
450571	168490929.00	3422	49237.559614	0.161985
260119	168478705.00	1783	94491.702187	0.090570
110082	168381143.00	3147	53505.288529	0.194168
40016	168271398.00	3061	54972.688010	0.287541
370013	168120518.00	4485	37485.065329	0.221616
450032	167839777.00	2937	57146.672455	0.172896
